neighbourhood,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_dayofweek,neighbourhood_group_Central Region,neighbourhood_group_North-East Region,neighbourhood_group_West Region,neighbourhood_group_East Region,neighbourhood_group_North Region,last_review_season_Southwest Monsoon,last_review_season_Northeast Monsoon,last_review_season_Hot and Dry,last_review_season_Inter-monsoon,room_type_Private room,room_type_Entire home/apt,room_type_Shared room,airbnb_era_Post-Maturity,airbnb_era_Maturity,airbnb_era_Significant Growth,airbnb_era_Growth,price
121.60606060606061,1.28106,103.78588,0.5476604871793528,1.4059131647005323,0.24437820468769114,32,317,6.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,69
135.9655172413793,1.31714,103.85011,0.7632875349901244,0.9444332094556629,0.03837758828980417,1,0,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,56
218.83333333333334,1.28535,103.85428,0.7632875349901244,1.293148584843654,0.7490044156590809,12,44,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,428
154.3695652173913,1.29985,103.90016,1.2132397263614954,2.061317090012272,0.4482348930088285,8,205,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,199
78.51851851851852,1.40158,103.74491,0.7632875349901244,1.8245155980566627,0.3804767584641529,3,180,0.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,72
142.6863157894737,1.31086,103.87952,0.5476604871793528,1.89245096344469,0.5830566512820058,3,254,3.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,179
157.45038167938932,1.31101,103.8536,0.5476604871793528,2.3536154106474165,0.6481637560299873,8,282,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,150
227.13793103448276,1.29979,103.84472,1.0877874362219921,0.9444332094556629,0.5342643850317081,12,79,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,369
92.3913043478261,1.34726,103.70083,1.3755669077328003,0.6294841510589716,0.019586148211334076,1,365,2.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,22
151.43722943722943,1.28191,103.84675,0.5476604871793528,0.6294841510589716,0.11427500561597995,13,0,6.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,169
151.43722943722943,1.27637,103.84355,1.353312099935691,2.185289072149437,0.5192737312454871,1,179,4.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,210
135.9655172413793,1.2965,103.87055,1.014689540741857,1.4968246860306311,0.6708414715831803,1,52,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,294
129.52272727272728,1.32032,103.91128,0.8827548615480663,2.3536154106474165,0.7134421945295563,1,60,6.0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,57
129.52272727272728,1.32654,103.91291,0.7632875349901244,1.4059131647005323,0.09853120329444137,1,0,6.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,150
151.43722943722943,1.28409,103.84514,0.5476604871793528,2.020986042528727,0.22175935597682567,3,0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,67
153.04395604395606,1.29562,103.83815,0.7632875349901244,0.9444332094556629,0.17176923885967843,28,342,4.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,87
135.9655172413793,1.31437,103.85641,1.287246019848224,1.293148584843654,0.20379843846278126,30,70,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,150
142.6863157894737,1.31333,103.89085,0.7632875349901244,1.293148584843654,0.17839698790358818,1,357,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,119
154.3695652173913,1.30649,103.89457,0.5476604871793528,2.2323208940914157,0.7034570400252418,8,65,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,62
78.51851851851852,1.38056,103.75988,0.7632875349901244,1.5724373905921767,0.129441045381051,3,325,6.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,239
218.83333333333334,1.2985,103.85678,0.7632875349901244,2.0417675711815075,0.8008745197753251,5,49,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,58
190.68,1.31742,103.82572,1.0877874362219921,2.1137328411173617,0.25515738552935663,19,365,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,160
151.43722943722943,1.28118,103.84532,0.5476604871793528,2.431219476301474,0.6197057729205758,4,353,2.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,50
264.4788732394366,1.30347,103.83505,0.5476604871793528,2.020986042528727,0.37335043917571636,10,322,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,90
264.4788732394366,1.30341,103.83365,0.7632875349901244,1.6925959414637473,0.15816054567878615,38,349,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,300
157.45038167938932,1.30386,103.85459,0.7632875349901244,2.7927504430885124,0.76382922389684,10,63,3.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,106
153.04395604395606,1.29597,103.8382,0.5476604871793528,2.4461425085787996,0.490027799430579,48,337,4.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,137
142.6863157894737,1.31029,103.87671,0.8827548615480663,0.6294841510589716,0.2098849975170654,157,305,2.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,268
135.9655172413793,1.31482,103.85405,1.2039839690360306,1.146990051546535,0.40723524622320845,141,365,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,131
264.4788732394366,1.29892,103.83927,0.7632875349901244,2.598761665360207,0.730757741355682,48,287,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,137
111.52,1.35117,103.83721,0.5476604871793528,2.588778757214232,0.7476573773506664,2,133,4.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,107
157.45038167938932,1.30162,103.86022,0.5476604871793528,2.2909591858984855,0.4135193731553505,4,0,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,76
147.58793969849245,1.26732,103.82352,0.8827548615480663,0.6294841510589716,0.08217661194583258,2,1,5.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,250
142.6863157894737,1.3253,103.9048,0.5476604871793528,2.2631659218181537,0.6827985159891375,1,334,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,129
147.58793969849245,1.27592,103.83701,0.8827548615480663,2.242978160620573,0.5531282284471561,1,9,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,269
